path	translation	hypothesis
en.20080924.34.3-400.wav	Mr President, I very much welcome the strategy set out in the White Paper, which will enable us to tackle the causes of poor nutrition and obesity and the diseases with which they are associated. Unfortunately, in Europe's food policy, whether we are talking about nutrient profiles or food labelling, or indeed in some aspects of the White Paper, we tend to resort to a very one-sided approach. We generally try to resolve Europe's problems through product policy. In my view, assuming that there are good and bad foods is fundamentally the wrong approach. As many of the amendments show, this is not the case. There are only good and bad, or balanced and unbalanced, types of diet. That should be our approach. There are many reasons why people eat the wrong type of diet. Addressing this problem by attempting to steer consumers in a particular direction with product labelling or even by introducing advertising bans or regulations or applying different VAT rates, will not bring us closer to our desired objective. I do not want to pre-empt the debate on the Food Labelling Directive, but I do believe that whatever action we take here should be guided by the principle that we should be motivating consumers to think about their eating habits. Traffic-light labelling – which is supposed to make the consumer stop and think whether he or she is about to choose a good or a bad product – is an approach which patronises consumers rather educating them and raising awareness. I would like to see a more balanced approach, along with the recognition that pursuing a solely product policy-oriented approach will not take us very far.	
en.20080924.4.3-039.wav	Mr President, Madam Vice-President, ladies and gentlemen, there are no new issues in the sphere of budgetary control. Budgetary control is ongoing, and we would have been gratified to see some progress being made on the issues already on this agenda. I have five points to make. Firstly, we would urgently appeal for some support for Romania and Bulgaria in establishing the rule of law, the justice system and financial control. We do not want to be in the same position in two years' time, so this issue is very important to us. The second issue is the statement of assurance for the budget as a whole after the phased control procedure involving the national courts of audit. In the last half-year remaining to the Commission, it would be nice if we could achieve some major progress here, or at least agree on a common way forward. As budget controllers, our expectations are quite modest. The third point is simplification. We should be giving the lower tiers of administration in the Member States more help in implementing EU law. It is clear that they are completely overwhelmed by many areas of EU law, which is why the failure rates are so high. Fourthly, foreign aid: here, I would like to mention Kosovo in particular and the issue of cooperation with the United Nations. The Committee on Budgetary Control has been to Kosovo, and I would like to announce at this juncture that Kosovo will be something of an issue when it comes to the discharge of the budget. In my view, we are falling far short of the opportunities available to the European Union and have considerable ground to make up here. My fifth point is improving cooperation among the Member States in combating fraud. Here, we have homework for the ladies and gentlemen of the Council in particular. In November, the House will be voting on the regulation which provides the legal basis for combating fraud, and we will need to consider how we take this forward if we want to achieve better results in this area. At least, that is something that we have always agreed on until now.	
en.20080924.5.3-076.wav	Mr President, India and Europe need more and better contacts with each other at all levels, but particularly between ordinary people: business people, tourists and students, for example. Let me make a brief comment, which is also of relevance to the Commission's legislative programme that we were discussing earlier. In international aviation, we need good security regulations that are genuinely useful and effective and not simply token gestures. One sensible and genuinely necessary measure would therefore be to abolish the senseless rules that prevent passengers from taking liquids on board at last, and to come up with a more sensible solution.	
en.20081009.25.4-139.wav	Mr President, I voted in favour of the resolution as it represents an unequivocal call to the Belarusian Government to respect human rights at last. It is disappointing that hopes of democratic development for the Belarusian people who have to live under Europe ’ s last dictatorship were not fulfilled by the parliamentary elections which took place in September and which were dubious, if not to say falsified. The same applies to the strategic repression of the opposition and civil society. We have also called on the Council and the Commission today to take further steps towards facilitating and intensifying people-to-people contacts and democratising the country and to consider the possibilities for lowering the cost of visas for Belarusian citizens entering the Schengen territory, which is the only way to prevent Belarus and its citizens from becoming increasingly isolated.	
en.20081021.6.2-029.wav	Madam President, I should like to start by objecting to the spirit of something we heard a few minutes ago, namely that our labour market was being overrun by foreign workers. Secondly, I should have liked to see a clearer, more unambiguous report by the Committee on Employment and Social Affairs. Confidence in the social cohesion of the European Union can be achieved only if fundamental social rights are defined as primary European law. We should send the Council, the Commission, the Member States and the European Court of Justice a stronger signal, and not content ourselves with just calling for a balance between fundamental rights and the freedoms of movement of the internal market. This will not effect change. Like liberties, fundamental social rights are human rights, and must not be curtailed as a result of internal market freedoms of movement. The important points here are that we must defend and improve the European social model and that it is high time we introduced a social progress clause as a binding protocol to the existing EU Treaties. It is time that the Posting of Workers Directive was amended such as to prevent requirements on wages and on minimum standards being limited to minimum requirements.	
en.20081022.22.3-344.wav	Mr President, I should like to join in the thanks which numerous Members have already quite rightly extended to the rapporteur, Doris Pack. In her, we have someone who is hopefully not wasting her time and effort and who truly is investing a great deal of time and effort in this area. I rejoice with her and with those who have also said that there has been some progress, including in the area of police cooperation. That is important if actual life on the ground is to be able to run along reasonable lines. Nevertheless, I believe that we must keep pointing out to our counterparts in Bosnia and Herzegovina that they personally and their side still needs to do a great deal, even more than is already being done in numerous areas. Internal cooperation and a willingness to enter into internal cooperation between the ethnic groups is something which we must permanently demand. We do not want everyone trying to go their own way. Involvement in regional cooperation in the Western Balkans is also important.	
en.20081023.4.4-034.wav	Madam President, the gap between the European Union and the citizens of Europe should not be as large as it has become. We must ensure that this gap is reduced. The Ombudsman has a very important role to play in this respect, in particular in areas where and at times when he does his job well. The most important thing is that we can count on the Ombudsman's commitment and sense of proportion. We must not raise excessive expectations which no one can meet. On the other hand, it is also about ensuring that abuses which occur in the administration of European bodies are actually dealt with and, where possible, that sensible solutions are sought which will satisfy the citizens and ensure their security. Until now the Ombudsman has shown that he takes this task seriously and performs it well. We can only hope that this will continue to be the case and thank him and the rapporteur for this report.	
en.20081117.21.1-070.wav	. Mr President, ladies and gentlemen, 10 years after the introduction of monetary union, Europe finds itself in a major crisis. Banks are collapsing, or are being propped up with billions from national budgets; the market is collapsing, and millions of people are afraid for their jobs and their future. It is not only the market that has failed: the prevailing policy seems unable to learn from its mistakes. We take the view that serious mistakes were made in setting up Economic and Monetary Union. One of those mistakes was the structural separation of monetary and fiscal policy: one cannot create a common currency without at the same time harmonising taxation and expenditure policy, at least in broad outlines. It seems to me that the economic imbalances within the Euro Zone have increased enormously. What we now need is, indeed, better coordination of economic, and in particular taxation, policy. We need effective measures to combat tax dumping; tax havens also need to be closed and movements of capital finally need to be controlled again. The second serious mistake, in our view, lies in the structure of the Stability and Growth Pact. In times like these, anybody who thinks that budget consolidation is essential is obviously living in another world: nothing would be more disastrous than responding to this economic crisis, at this point, with obvious saving programmes. The stability pact has clearly proven that it has failed. It should be replaced by an integrated European strategy for solidarity and sustainable development. In our opinion, we need an investment offensive to renew public infrastructure and to improve the lives of socially disadvantaged groups in Europe. The third mistake, in our view, lies in the structure of the European Central Bank itself, which is not subject to any democratic supervision and which has as its sole objective price stability. We would advocate introducing democratic supervision for the European Central Bank, and we also call for the ECB ’ s monetary policy mandate to be adjusted so that, in future, growth and employment have to be given at least the same weight as price stability. The current crisis is also an opportunity for far-reaching reform of the European monetary and financial architecture. This opportunity must not just be frittered away.	
en.20081119.4.3-047.wav	Madam President, Commissioner, Mr President-in-Office of the Council, ladies and gentlemen, the reality is that the motor industry is in crisis and there are many reasons for this. The financial crisis, in particular, has further accelerated the crisis in this sector and the Member States are currently working on resolutions. The European automotive industry is a key industry. For that reason, we need European solutions for this key European industry in order to defeat this crisis. Nearly all car makers have European structures. In order to be able to implement the necessary investment in environmentally friendly vehicles – as has been mentioned a number of times today – and low-consumption technologies, car makers need public guarantees or low interest credit from the European Investment Bank. The supply industry, too – and this is very important – must not be forgotten in all this. The supply industry contains small and medium-sized companies in which jobs are created and innovation occurs. Yet what can the European Union do to protect this key industry? In the last plenary part-session, the President-in-Office of the Council proposed that key industries should be protected. For me, this was a good idea, because if you take the proposal to its logical conclusion it means a ‘ Volkswagen Law ’ for the entire European motor industry. That would certainly be a sound instrument. The European Commission, however, is currently fighting against this protective instrument. Therefore, I would ask the Commission this: will it hold its grudge, despite the crisis in the motor industry, or will it change course in light of this crisis?	
en.20081120.3.4-027.wav	Mr President, Mr President of the European Court of Auditors, Mr Vice-President of the Commission, ladies and gentlemen, it has now become a tradition that once again no statement of assurance can be issued about the relationship between spending at a European level and administration at a national level. I can remember discussions with the previous President of the Court of Auditors, Professor Friedmann, who once said to me that, because of the structures, it was not possible to give a statement of assurance. For this reason, we should consider how this instrument can be brought to life with the aim of issuing a statement of assurance, if this is justified. It is important to make distinctions between a few different issues in this respect. Firstly, a budget that consists of around 95% subsidies is much more susceptible to fraud than a national, regional or local authority budget. This subsidy budget is largely managed by the Member States, which have demanded a great deal more independence from us in the new financing period, because they complained during the last funding period that there was too much central control. Of course, this also means that the responsibility for the budget funds must be transferred to a regional and national level. The third area is one that I just want to touch on. We must learn to distinguish between fraud and wastefulness. These are things which are often lumped together. It also annoys me when projects are funded with EU money which are not absolutely necessary. However, this is not fraud, but wastefulness. For this reason, those with responsibility for the projects, in particular in the area of structural operations, namely the Member States, should also take responsibility for ensuring that money is not wasted and that only those projects are subsidised which provide genuine added value for the region. Therefore, we should also consider moving parts of structural operations onto interest-free loans. If Member States have to pay back the money, they will only fund the projects that they really need.	
